                0.01          5.42104e-16          3.32243e-16
           0.0100333          1.82799e-06           0.00156087
           0.0100668          3.66209e-06           0.00310228
           0.0101003          5.50251e-06           0.00462453
            0.010134          7.34944e-06           0.00612789
           0.0101678          9.20307e-06           0.00761264
           0.0102017          1.10636e-05           0.00907904
           0.0102357          1.29312e-05            0.0105274
           0.0102698          1.48061e-05            0.0119579
            0.010304          1.66885e-05            0.0133708
           0.0103384          1.85786e-05            0.0147664
           0.0103728          2.04766e-05            0.0161449
           0.0104074          2.23827e-05            0.0175066
           0.0104421          2.42973e-05            0.0188517
           0.0104769           2.6221e-05            0.0201805
           0.0105118          2.81538e-05             0.021493
           0.0105469           3.0096e-05            0.0227897
            0.010582          3.20477e-05            0.0240706
           0.0106173          3.40092e-05            0.0253361
           0.0106527          3.59804e-05            0.0265862
           0.0106882          3.79613e-05            0.0278213
           0.0107238          3.99525e-05            0.0290415
           0.0107596           4.1954e-05             0.030247
           0.0107954          4.39661e-05             0.031438
           0.0108314          4.59889e-05            0.0326148
           0.0108675          4.80225e-05            0.0337774
           0.0109038           5.0067e-05            0.0349261
           0.0109401          5.21226e-05             0.036061
           0.0109766          5.41895e-05            0.0371824
           0.0110132          5.62676e-05            0.0382904
           0.0110499          5.83571e-05            0.0393851
           0.0110867          6.04582e-05            0.0404668
           0.0111237          6.25709e-05            0.0415356
           0.0111607          6.46954e-05            0.0425917
           0.0111979          6.68318e-05            0.0436352
           0.0112353          6.89803e-05            0.0446663
